종목코드,종목명,종가,대비,등락률,상장시가총액
"196170","알테오젠","357500","-11500","-3.12","19157117622500"
"247540","에코프로비엠","190400","-100","-0.05","18626914633600"
"086520","에코프로","126800","-2400","-1.86","17216416073600"
"277810","레인보우로보틱스","746000","-64000","-7.90","14472294068000"
"000250","삼천당제약","373500","-14500","-3.74","8761365792000"
"036930","주성엔지니어링","182200","42000","29.96","8468860246200"
"058470","리노공업","101000","0","0.00","7697396850000"
"028300","HLB","50300","-1600","-3.08","6699118833100"
"298380","에이비엘바이오","112200","-7100","-5.95","6281793348600"
"141080","리가켐바이오","162000","-29400","-15.36","5997145716000"
"039030","이오테크닉스","485000","43000","9.73","5974981750000"
"240810","원익IPS","116100","1400","1.22","5698640906100"
"087010","펩트론","239000","-20500","-7.90","5572846650000"
"440110","파두","98900","-1200","-1.20","4954576190300"
"214370","케어젠","85700","-12000","-12.28","4603375500000"
"310210","보로노이","249500","-16500","-6.20","4591341664500"
"108490","로보티즈","306000","-22500","-6.85","4485050568000"
"095340","ISC","209000","-15500","-6.90","4430185122000"
"178320","서진시스템","72800","5800","8.66","4335305592800"
"403870","HPSP","52200","2700","5.45","4296060000000"
"319400","현대무벡스","37550","-3550","-8.64","4182170264450"
"222800","심텍","100400","100","0.10","3761378672400"
"010170","대한광통신","23100","100","0.43","3591718746000"
"100790","미래에셋벤처투자","67400","12500","22.77","3580600331600"
"131970","두산테스나","173400","-4400","-2.47","3351343069200"
"064760","티씨케이","293000","-12000","-3.93","3275568888000"
"145020","휴젤","261500","-21000","-7.43","3217504629500"
"067310","하나마이크론","48950","-3950","-7.47","3253423862700"
"214450","파마리서치","311500","-16500","-5.03","3236375352000"
"357780","솔브레인","408000","-2000","-0.49","3173654928000"
"080220","제주반도체","92600","10300","12.52","3189406335800"
"214150","클래시스","48100","-2400","-4.75","3137835197900"
"319660","피에스케이","106000","4600","4.54","3070471684000"
"032820","우리기술","17290","160","0.93","2958254715780"
"226950","올릭스","148300","-18500","-11.09","3010576458900"
"263750","펄어비스","45800","-1400","-2.97","2942551759000"
"005290","동진쎄미켐","56100","3200","6.05","2859424068600"
"043260","성호전자","39500","-1150","-2.83","2801451508500"
"058610","에스피지","122300","-4300","-3.40","2712291128000"
"347850","디앤디파마텍","62100","-6700","-9.74","2720237528700"
"084370","유진테크","115900","-1500","-1.28","2655969267800"
"237690","에스티팜","124900","-6500","-4.95","2603906082300"
"218410","RFHIC","96800","-300","-0.31","2570373185600"
"257720","실리콘투","39050","450","1.17","2560752640600"
"098460","고영","36300","-100","-0.27","2492167606500"
"031980","피에스케이홀딩스","116900","-4100","-3.39","2520643975500"
"083650","비에이치아이","79900","-3000","-3.62","2472455562500"
"131290","티에스이","223000","41500","22.87","2466698667000"
"347700","스피어","48150","6150","14.64","2446708785750"
"082920","비츠로셀","53200","200","0.38","2412060176400"
"078600","대주전자재료","157000","7500","5.02","2438692461000"
"0009K0","에임드바이오","35800","-3500","-8.91","2315227563800"
"095610","테스","116100","-2000","-1.69","2247696000000"
"140410","메지온","71200","-2700","-3.65","2163922290400"
"035900","JYP Ent.","61000","-2500","-3.94","2167482012000"
"068760","셀트리온제약","49450","-1450","-2.85","2195695317400"
"030530","원익홀딩스","26950","-1250","-4.43","2081563587950"
"027360","아주IB투자","17010","2700","18.87","2060683356060"
"041510","에스엠","87400","-4300","-4.69","2000995906000"
"323280","태성","65300","1100","1.71","1994130094000"
"476830","알지노믹스","138700","-9000","-6.09","1932623885400"
"140860","파크시스템스","271500","7000","2.65","1899836725500"
"031330","에스에이엠티","18590","4290","30.00","1858908295530"
"060370","LS마린솔루션","35850","-100","-0.28","1872762915900"
"089030","테크윙","49400","-1000","-1.98","1830450063000"
"099320","쎄트렉아이","167000","9300","5.90","1828863426000"
"189300","인텔리안테크","167000","5000","3.09","1793161999000"
"437730","삼현","56500","3800","7.21","1791477535500"
"101490","에스앤에스텍","78000","0","0.00","1664120562000"
"290650","엘앤씨바이오","60300","-3500","-5.49","1626273151200"
"420770","기가비스","124900","5100","4.26","1583202174200"
"039200","오스코텍","40750","-6450","-13.67","1559020672000"
"096530","씨젠","29950","-1100","-3.54","1564168520300"
"183300","코미코","150900","-5200","-3.33","1578517215600"
"445680","큐리옥스바이오시스템즈","90200","-2100","-2.28","1551733601000"
"090710","휴림로봇","12520","-600","-4.57","1495604106440"
"295310","에이치브이엠","125300","27400","27.99","1507019562300"
"475830","오름테라퓨틱","67800","-8200","-10.79","1458603435000"
"417200","LS머트리얼즈","21650","-650","-2.91","1464680067350"
"038500","삼표시멘트","13400","-250","-1.83","1446078500400"
"232140","와이씨","17950","-450","-2.45","1472714032500"
"166090","하나머티리얼즈","73500","2700","3.81","1453659039000"
"491000","리브스메드","56800","-6200","-9.84","1420249408800"
"003380","하림지주","12300","-370","-2.92","1377669138300"
"036540","SFA반도체","8500","-110","-1.28","1397912575500"
"089970","브이엠","56000","1800","3.32","1387231720000"
"085660","차바이오텍","14310","-630","-4.22","1330397093880"
"195940","HK이노엔","46700","-2250","-4.60","1323005909700"
"458870","씨어스","34250","-2700","-7.31","1303546095000"
"490470","세미파이브","38100","2700","7.63","1290020280000"
"065350","신성델타테크","46400","-2350","-4.82","1275255187200"
"281740","레이크머티리얼즈","19000","-550","-2.81","1248880412000"
"397030","에이프릴바이오","53700","-7200","-11.82","1257322456200"
"439960","코스모로보틱스","37400","-6700","-15.19","1200873084400"
"033790","피노","14900","50","0.34","1226743641200"
"032500","케이엠더블유","28900","-1600","-5.25","1218275887500"
"204270","제이앤티씨","21050","2750","15.03","1217710209300"
"388210","씨엠티엑스","119100","-6900","-5.48","1147461565800"
"388720","유일로보틱스","100500","2400","2.45","1184025172500"
"160190","하이젠알앤엠","37000","-1450","-3.77","1142856000000"
"007390","네이처셀","17500","-500","-2.78","1127613480000"
"124500","아이티센글로벌","49600","-1600","-3.13","1150944539200"
"127120","제이에스링크","33900","-1700","-4.78","1172049480900"
"036830","솔브레인홀딩스","55100","-1700","-2.99","1129769353100"
"161580","필옵틱스","49900","900","1.84","1169768125300"
"466100","클로봇","43950","-950","-2.12","1118933554050"
"213420","덕산네오룩스","45100","-1900","-4.04","1119886172900"
"033100","제룡전기","66500","-2700","-3.90","1068150198500"
"083450","GST","59500","400","0.68","1096585000000"
"052020","에스티큐브","16430","-860","-4.97","1116965471130"
"137400","피엔티","47100","-200","-0.42","1115833288800"
"456160","지투지바이오","62800","-3600","-5.42","1039048545200"
"048410","현대바이오","10980","-190","-1.70","1059631180560"
"126340","비나텍","143100","-12000","-7.74","1022238856800"
"222080","씨아이에스","13280","-290","-2.14","1032920312320"
"356860","티엘비","99000","-1700","-1.69","973430370000"
"376900","로킷헬스케어","59900","-8700","-12.68","950839961100"
"293490","카카오게임즈","10600","-460","-4.16","951741256600"
"094170","동운아나텍","45950","-950","-2.03","960811559200"
"056190","에스에프에이","26850","-1900","-6.61","964150206000"
"074600","원익QnC","36150","700","1.97","950311200000"
"086450","동국제약","21400","-1250","-5.52","967930988000"
"056080","유진로봇","25650","-1800","-6.56","962186698800"
"115180","큐리언트","26800","-1000","-3.60","999773651600"
"476060","온코닉테라퓨틱스","20600","1070","5.48","935401504000"
"253450","스튜디오드래곤","29500","-1050","-3.44","886725691000"
"122870","와이지엔터테인먼트","48050","-1750","-3.51","898104904450"
"037460","삼지전자","56400","6750","13.60","920364640800"
"035760","CJ ENM","42500","-1400","-3.19","931989045000"
"050890","쏠리드","15400","-200","-1.28","935650623600"
"052400","코나아이","62100","-7900","-11.29","904380371100"
"014620","성광벤드","35250","800","2.32","936147081000"
"023160","태광","35250","500","1.44","911820280500"
"046890","서울반도체","15400","-720","-4.47","897903160000"
"241710","코스메카코리아","78500","-6800","-7.97","838380000000"
"327260","RF머트리얼즈","99400","-1400","-1.39","844416419000"
"171090","선익시스템","84100","-2100","-2.44","849630846600"
"032190","다우데이타","22750","850","3.88","871325000000"
"090360","로보스타","85600","-3200","-3.60","834600000000"
"053610","프로텍","92100","9300","11.23","828900000000"
"121600","나노신소재","70900","100","0.14","868786691900"
"365340","성일하이텍","66500","-500","-0.75","816134616500"
"348340","뉴로메카","65200","-2200","-3.26","806012245200"
"348370","엔켐","36250","-800","-2.16","794273496250"
"006730","서부T&D","12250","-1050","-7.89","795354806750"
"082270","젬백스","18310","130","0.72","810569106930"
"092190","서울바이오시스","17570","2160","14.02","805907489310"
"044490","태웅","40700","-850","-2.05","814300406700"
"077360","덕산하이메탈","17190","-540","-3.05","781062064380"
"358570","지아이이노베이션","11220","-1530","-12.00","720744189000"
"019210","와이지-원","19300","1670","9.47","717838950400"
"425420","티에프이","57400","-1900","-3.20","708728189400"
"252990","샘씨엔에스","11730","10","0.09","706355837970"
"174900","앱클론","36200","-3050","-7.77","722267069800"
"199800","툴젠","80000","-16600","-17.18","719506320000"
"225570","넥슨게임즈","11220","180","1.63","738951152280"
"102940","코오롱생명과학","54100","-500","-0.92","708201622300"
"086900","메디톡스","100600","-1500","-1.47","734228798200"
"036810","에프에스티","34700","500","1.46","751247678300"
"059090","미코","21050","-1200","-5.39","703423176900"
"060250","NHN KCP","17590","-350","-1.95","706425147490"
"0011T0","채비","15030","-1240","-7.62","703182758400"
"009520","포스코엠텍","17780","-320","-1.77","740407259340"
"399720","가온칩스","59300","-2300","-3.73","702043449200"
"368770","파이버프로","20300","310","1.55","666940767500"
"389470","인벤티지랩","51000","-3500","-6.42","677143065000"
"253590","네오셈","15180","430","2.92","665933909520"
"328130","루닛","18000","-290","-1.59","669443724000"
"336570","원텍","7700","-380","-4.70","689770974200"
"348210","넥스틴","62000","-2100","-3.28","649574310000"
"033640","네패스","29200","-2050","-6.56","673328698400"
"112040","위메이드","20200","-500","-2.42","685759356600"
"089890","코세스","41600","1050","2.59","689934419200"
"053800","안랩","60800","-1200","-1.94","676491564800"
"015750","성우하이텍","8110","-290","-3.45","648800000000"
"033160","엠케이전자","27700","-750","-2.64","669926632900"
"102710","이엔에프테크놀로지","46550","650","1.42","665098765800"
"460930","현대힘스","17210","-20","-0.12","611138647910"
"033500","동성화인텍","21300","-1050","-4.70","638776222200"
"486990","노타","29500","-400","-1.34","629713785000"
"372320","큐로셀","39100","-3750","-8.75","595333393800"
"376300","디어유","26300","-600","-2.23","624320077800"
"448900","한국피아이엠","96400","-10600","-9.91","585577654800"
"272290","이녹스첨단소재","31950","1350","4.41","637003412550"
"278280","천보","50600","-1100","-2.13","616342408000"
"332570","PS일렉트로닉스","12700","420","3.42","593236850100"
"354320","알멕","93600","7800","9.09","598233261600"
"214430","아이쓰리시스템","83400","-2800","-3.25","609421731000"
"122640","예스티","27400","1700","6.61","586867146600"
"067160","SOOP","51000","-1600","-3.04","586233117000"
"078160","메디포스트","16110","-2000","-11.04","631586154330"
"089010","켐트로닉스","37600","800","2.17","630553015200"
"041830","인바디","44300","-500","-1.12","597203072600"
"041960","코미팜","8010","-160","-1.96","591830824950"
"024850","HLB이노베이션","20000","-1550","-7.19","634661960000"
"475960","토모큐브","46300","-2200","-4.54","619645586200"
"493280","아이엠바이오로직스","38400","-2600","-6.34","568475443200"
"035890","서희건설","2255","55","2.50","518218070535"
"389500","에스비비테크","83200","-1800","-2.12","554400870400"
"393890","더블유씨피","16110","1220","8.19","545213049840"
"452280","한선엔지니어링","27850","-1050","-3.63","536012797000"
"290550","디케이티","26500","-1850","-6.53","530032595000"
"200710","에이디테크놀로지","41250","-3600","-8.03","555307788750"
"101930","인화정공","11670","-350","-2.91","538738664700"
"104830","원익머트리얼즈","45000","-1450","-3.12","567360000000"
"125490","한라캐스트","15020","-1010","-6.30","548265327040"
"078350","한양디지텍","34000","300","0.89","518308988000"
"093320","케이아이엔엑스","116100","1400","1.22","566568000000"
"041190","우리기술투자","6220","90","1.47","522480000000"
"042000","카페24","21700","-50","-0.23","526291271800"
"045100","한양이엔지","30950","500","1.64","541625000000"
"060280","큐렉소","13060","-440","-3.26","538852857400"
"006910","보성파워텍","11230","-200","-1.75","551727923520"
"018290","브이티","14930","110","0.74","521681641340"
"025980","아난티","5550","-320","-5.45","540020494500"
"383310","에코프로에이치엔","26950","0","0.00","565274417400"
"468530","프로티나","44650","-4100","-8.41","492722037200"
"034950","한국기업평가","104700","-1500","-1.41","475391815800"
"425040","티이엠씨","24000","2050","9.34","511897968000"
"251970","펌텍코리아","38800","-50","-0.13","481120000000"
"287840","인투셀","30750","-1150","-3.61","461925270000"
"317330","덕산테코피아","23500","-800","-3.29","481199724000"
"330860","네패스아크","39650","-5900","-12.95","483097384250"
"340570","티앤엘","57400","-4400","-7.12","466547200000"
"144960","뉴파워프라즈마","10700","-50","-0.47","467511076800"
"168360","펨트론","21800","-1300","-5.63","473224960600"
"187660","페니트리움바이오","8430","110","1.32","467580512790"
"211050","인카금융서비스","10020","-430","-4.11","493621843140"
"230360","에코마케팅","16000","0","0.00","495980128000"
"099190","아이센스","17800","-170","-0.95","511880100200"
"107640","한중엔시에스","52500","-1800","-3.31","475909665000"
"110990","디아이티","26300","1950","8.01","497070000000"
"119850","지엔씨에너지","29000","-3000","-9.38","477018361000"
"138080","오이솔루션","37650","-3300","-8.06","466022588700"
"069540","빛과전자","5050","-240","-4.54","494402771950"
"078130","국일제지","436","0","0.00","491548959756"
"084110","휴온스글로벌","37850","0","0.00","479173884200"
"036620","감성코퍼레이션","5320","-80","-1.48","481480061720"
"064260","다날","6580","-80","-1.20","497747107060"
"013030","하이록코리아","39150","600","1.56","460722837600"
"025900","동화기업","9420","-270","-2.79","476249624700"
"030520","한글과컴퓨터","19520","180","0.93","471988602880"
"488900","비츠로넥스텍","17560","1560","9.75","508826339080"
"482630","삼양엔씨켐","19200","100","0.52","420254976000"
"025320","시노펙스","4925","-205","-4.00","453860927275"
"355150","코스텍시스","57600","7750","15.55","449127360000"
"356680","엑스게이트","15460","-900","-5.50","441282386320"
"376270","HEM파마","60300","600","1.01","433327076100"
"394280","오픈엣지테크놀로지","15990","-700","-4.19","421281014700"
"424870","이뮨온시아","5770","-230","-3.83","429079293330"
"441270","파인엠텍","9760","-180","-1.81","407296629120"
"455900","엔젤로보틱스","29000","-750","-2.52","443753099000"
"241770","메카로","39550","400","1.02","403118912000"
"254490","미래반도체","31600","-9400","-22.93","456240800000"
"170920","엘티씨","39100","700","1.82","413057326600"
"204620","글로벌텍스프리","5780","-460","-7.37","406237647400"
"206650","유바이오로직스","11300","-90","-0.79","414973369100"
"215200","메가스터디교육","43550","-900","-2.02","451405156800"
"215600","신라젠","3010","-85","-2.75","417046227640"
"234340","헥토파이낸셜","29400","-1600","-5.16","410737286400"
"095660","네오위즈","20350","-350","-1.69","440301940650"
"098070","한텍","35800","-450","-1.24","398136847800"
"101160","월덱스","27100","-650","-2.34","447447910300"
"114810","한솔아이원스","14760","-340","-2.25","422035248240"
"117730","티로보틱스","19490","-610","-3.03","439656258070"
"067630","HLB생명과학","3480","-170","-4.66","424271361840"
"078020","LS증권","7180","-140","-1.91","398354944200"
"079370","제우스","13650","-490","-3.47","423381913500"
"079940","가비아","31500","-600","-1.87","422751546000"
"080580","오킨스전자","18950","-1020","-5.11","399673597250"
"039440","에스티아이","28750","-1450","-4.80","445827601250"
"047920","HLB제약","13750","-280","-2.00","450991145000"
"484590","삼양컴텍","10010","-530","-5.03","412516604500"
"459510","나우로보틱스","28250","-150","-0.53","366639291500"
"462350","이노스페이스","16120","1720","11.94","336402831440"
"475400","씨메스로보틱스","30750","-950","-3.00","361498906500"
"478340","나라스페이스테크놀로지","31750","3550","12.59","366191514250"
"378340","필에너지","16440","-760","-4.42","355521280080"
"389260","대명에너지","19750","-400","-1.99","353847418750"
"389650","넥스트바이오메디컬","47150","-5950","-11.21","386813224900"
"417840","저스템","17010","910","5.65","385513466310"
"448280","에코아이","11490","210","1.86","340461672210"
"450950","아스테라시스","9830","280","2.93","369879229360"
"452430","사피엔반도체","47350","-4550","-8.77","389124478100"
"241520","DSC인베스트먼트","13360","-320","-2.34","355376000000"
"243070","휴온스","32400","-2400","-6.90","388141146000"
"265520","AP시스템","26250","100","0.38","395084051250"
"274090","켄코아에어로스페이스","25950","5960","29.81","356282549100"
"298830","슈어소프트테크","6960","-210","-2.93","372071153040"
"304360","에스바이오메딕스","29300","-200","-0.68","362884250400"
"160980","싸이맥스","35100","-1550","-4.23","383440929300"
"179900","유티아이","19350","500","2.65","382944472200"
"180400","DXVX","3410","-340","-9.07","335644363120"
