종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","281000","10500","3.88","1642804288848000"
"000660","SK하이닉스","1840000","21000","1.15","1311372351600000"
"402340","SK스퀘어","1093000","-5000","-0.46","144230515898000"
"005380","현대차","663000","-37000","-5.29","135754398858000"
"373220","LG에너지솔루션","408000","-9000","-2.16","95472000000000"
"009150","삼성전기","1031000","21000","2.08","77009200576000"
"034020","두산에너빌리티","112100","1300","1.17","71806904466600"
"028260","삼성물산","399500","3000","0.76","64785948609500"
"329180","HD현대중공업","615000","-25000","-3.91","64551153375000"
"207940","삼성바이오로직스","1386000","-33000","-2.33","64159258086000"
"012450","한화에어로스페이스","1227000","11000","0.90","63268293027000"
"000270","기아","162500","-5500","-3.27","63442112175000"
"032830","삼성생명","313500","3500","1.13","62700000000000"
"105560","KB금융","153000","-2600","-1.67","57046119615000"
"012330","현대모비스","571000","-58000","-9.22","51808304893000"
"006400","삼성SDI","613000","-1000","-0.16","49398929890000"
"055550","신한지주","93100","-2000","-2.10","44190321009100"
"267260","HD현대일렉트릭","1147000","-32000","-2.71","41346063845000"
"068270","셀트리온","183200","-5600","-2.97","40659089415200"
"006800","미래에셋증권","70500","600","0.86","39449465040000"
"034730","SK","530000","27000","5.37","38426432590000"
"010120","LS ELECTRIC","253500","-5500","-2.12","38025000000000"
"005490","POSCO홀딩스","463000","-4500","-0.96","36688827001000"
"066570","LG전자","217000","-23500","-9.77","35345966446000"
"042660","한화오션","115800","-2300","-1.95","35482671025200"
"298040","효성중공업","3730000","-15000","-0.40","34780564040000"
"035420","NAVER","200000","-3500","-1.72","31374755200000"
"086790","하나금융지주","114200","-4800","-4.03","31332796821600"
"042700","한미반도체","317000","-52000","-14.09","30213967400000"
"010130","고려아연","1420000","-6000","-0.42","29639615980000"
"009540","HD한국조선해양","410000","-6000","-1.44","29016977560000"
"010140","삼성중공업","29550","250","0.85","26004000000000"
"051910","LG화학","373000","-1000","-0.27","26330943939000"
"000150","두산","1593000","-21000","-1.30","25796779155000"
"000810","삼성화재","554000","0","0.00","24734700042000"
"015760","한국전력","37650","-1100","-2.84","24169947499050"
"316140","우리금융지주","30650","-600","-1.92","22499439208000"
"064350","현대로템","201000","-500","-0.25","21937600893000"
"017670","SK텔레콤","100500","-800","-0.79","21586400326500"
"267250","HD현대","269000","-500","-0.19","21249139865000"
"003670","포스코퓨처엠","232000","-3500","-1.49","20635523040000"
"096770","SK이노베이션","123300","-200","-0.16","20844208760400"
"272210","한화시스템","106100","1800","1.73","20044347172900"
"035720","카카오","42450","-1550","-3.52","18810076255650"
"011200","HMM","19960","70","0.35","18827029881200"
"033780","KT&G","178200","-1600","-0.89","18499023259200"
"079550","LIG디펜스앤에어로스페이스","839000","5000","0.60","18458000000000"
"138040","메리츠금융지주","106300","500","0.47","17789015119900"
"003550","LG","115400","-10600","-8.41","17797170909000"
"011070","LG이노텍","760000","28000","3.83","17987001320000"
"086280","현대글로비스","230000","-12000","-4.96","17250000000000"
"006260","LS","528000","55500","11.75","16473600000000"
"024110","기업은행","20650","-250","-1.20","16466844194850"
"000720","현대건설","144900","-10100","-6.52","16135450348500"
"307950","현대오토에버","596000","-52000","-8.02","16344693272000"
